block;stress;inok;root;shoot;ramet
6;pathogen;FM_EC;0,237279793;0,3558;1,4192
6;pathogen;ALL;0,198298101;0,3356;1,2751
6;herbivory;NM;0,060007317;0,2181;0,15
6;herbivory;RI;0,279322388;0,4613;1,1309
6;herbivory;FM;0,157380165;0,3291;0,7021
6;herbivory;EC;0,155928205;0,3359;1,1955
6;herbivory;RI_FM;0,189511111;0,291;1,4518
6;herbivory;RI_EC;0,12082125;0,4728;0,473
6;herbivory;FM_EC;0,156116;0,2229;0,8348
6;herbivory;ALL;0,245709804;0,2795;1,9469
6;control;NM;0,18050129;0,3328;0,3266
6;control;RI;0,3768;0,5925;1,8901
6;control;FM;0,170832716;0,4791;1,1515
6;control;EC;0,292232374;0,4011;1,7167
6;control;RI_FM;0,369953333;0,788;1,6758
6;control;RI_EC;0,389206475;1,0472;1,8121
6;control;FM_EC;0,158340741;0,4336;1,2069
6;control;ALL;0,247684314;0,5306;1,5723
7;drought;NM;0,140883333;0,4043;0,576
7;drought;RI;0,132171212;0,4176;0,4684
7;drought;FM;0,129133333;0,1972;0,0947
7;drought;EC;0,126123288;0,2569;0,3191
7;drought;RI_FM;0,149608421;0,4492;0,358
7;drought;RI_EC;0,160382075;0,4723;0,6667
7;drought;FM_EC;0,135677083;0,2528;0,4274
7;drought;ALL;0,16202381;0,4087;0,4364
7;pathogen;NM;0,170630935;0,3083;0,7048
7;pathogen;RI;0,21797551;0,4634;1,2583
7;pathogen;FM;0,122661538;0,2584;0,6212
7;pathogen;EC;0,203950292;0,5759;1,2212
7;pathogen;RI_FM;0,200746774;0,5885;1,2801
7;pathogen;RI_EC;0,283844595;0,5199;1,5755
7;pathogen;FM_EC;0,165782114;0,3095;0,824
7;pathogen;ALL;0,223883333;0,5772;1,6651
7;herbivory;NM;0,10826747;0,3992;0,0496
7;herbivory;RI;0,158494828;0,5971;0,6956
7;herbivory;FM;0,1048125;0,2748;0,2579
7;herbivory;EC;0,082258065;0,1645;0,6437
7;herbivory;RI_FM;0,1225875;0,2932;1,0693
7;herbivory;RI_EC;0,121692683;0,344;1,0577
7;herbivory;FM_EC;0,202834286;0,2596;1,4713
7;herbivory;ALL;0,150051282;0,2681;0,8566
7;control;NM;0,177987432;0,4591;0,6289
7;control;RI;0,313955665;0,7386;1,862
7;control;FM;0,096942857;0,459;0,1665
7;control;EC;0,273136929;0,6753;1,6959
7;control;RI_FM;0,319342767;0,6581;1,7999
7;control;RI_EC;0,292426289;0,5927;2,0328
7;control;FM_EC;0,239911732;0,7642;1,2086
7;control;ALL;0,282012329;0,5206;1,7089
8;drought;NM;0,141934177;0,2851;0,6333
8;drought;RI;0,1515;0,3641;0,3709
8;drought;FM;0,155282759;0,1953;0,1612
8;drought;EC;0,118314667;0,2474;0,3638
8;drought;RI_FM;0,151468085;0,322;0,4795
8;drought;RI_EC;0,171662626;0,4583;0,4525
8;drought;FM_EC;0,226986667;0,177;0,2342
8;drought;ALL;0,200282143;0,6377;0,4503
8;pathogen;NM;0,360336422;0,4802;1,4786
8;pathogen;RI;0,438433452;0,5296;1,2953
8;pathogen;FM;0,214998261;0,3656;1,0713
8;pathogen;EC;0,26636383;0,4466;1,2507
8;pathogen;RI_FM;0,239110169;0,4394;1,1567
8;pathogen;RI_EC;0,380606038;0,7635;1,4446
8;pathogen;FM_EC;0,23721118;0,3717;0,3297
8;pathogen;ALL;0,280021637;0,5009;1,1939
8;herbivory;NM;0,079140984;0,2674;0,2549
8;herbivory;RI;0,324012941;0,4144;1,3341
8;herbivory;FM;0,134322727;0,3394;0,6473
8;herbivory;EC;0,117148352;0,2264;1,0408
8;herbivory;RI_FM;0,148782609;0,5132;0,6803
8;herbivory;RI_EC;0,251183333;0,5409;1,059
8;herbivory;FM_EC;0,180619231;0,3967;1,3
8;herbivory;ALL;0,181987629;0,2583;1,5239
8;control;NM;0,181212766;0,4642;0,7422
8;control;RI;0,366198165;0,3963;1,6516
8;control;FM;0,145901754;0,2897;0,5031
8;control;EC;0,289997899;0,4867;1,9606
8;control;RI_FM;0,378082474;0,7495;1,7928
8;control;RI_EC;0,397096596;0,7711;1,6846
8;control;FM_EC;0,255867857;0,71;1,005
8;control;ALL;0,34731573;0,6495;1,9461
